series,version,file,title,src_start,src_end,sha256
17.0,17.0.0-alpha,EAODS-v17.0.0-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 1: Enterprise Cyber Defense Operating System (CDOS), Security Operations Architecture & Domain 03 Operating Model",55866,56357,a87cc7f419a99fc930155c33b79dc8a3721542b9b8513f33a96f9a2799a693df
17.0,17.0.1-alpha,EAODS-v17.0.1-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 2: Enterprise Detection Engineering, Security Telemetry Fabric & Threat Analytics Architecture",56358,56861,086384850d060413f5434669689f57903e4fa97a26d4f1edfecbb7eb02259865
17.0,17.0.2-alpha,EAODS-v17.0.2-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 3: Enterprise Threat Intelligence, Adversary Knowledge Management & Campaign Analysis Framework",56862,57388,919bfc21f0a6dfa2443e788e69fe16c410344725c23f7b1ba23882394551c893
17.0,17.0.3-alpha,EAODS-v17.0.3-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 4: Enterprise Threat Hunting, Hypothesis Engineering & Adversary Emulation Framework",57389,57882,c27871e23cdaae584e236da4ad972c17d5dc00c7fb9e473aa5d437ec78ef968a
17.0,17.0.4-alpha,EAODS-v17.0.4-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 5: Enterprise Incident Response, Crisis Command & Cyber Mission Coordination Framework",57883,58390,27fc13bb830eb5afe3e9fb27a860cf3d6e7fd5d1dbd7aa4edb10c48707e81db7
17.0,17.0.5-alpha,EAODS-v17.0.5-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 6: Enterprise Digital Forensics, Evidence Governance & Investigative Assurance Framework",58391,58887,8002f42a92c50f0f0f36c4868b129ed997e10916e7b19d80492e4b8a58b1a5a8
17.0,17.0.6-alpha,EAODS-v17.0.6-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 7: Enterprise Vulnerability Intelligence, Exposure Management & Secure Remediation Framework",58888,59410,03dc9c7ded54a3e82e003ca09e172bd553cb784f0285ca771d533224e1569e82
17.0,17.0.7-alpha,EAODS-v17.0.7-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 8: Enterprise Cyber Resilience Engineering, Recovery Assurance & Operational Continuity Framework",59411,59879,56c502280c56170c717fb538cfd8daf2b8b43356df62d420d3dc5f1d7e76c9e1
17.0,17.0.8-alpha,EAODS-v17.0.8-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 9: Enterprise Security Architecture, Zero Trust Engineering & Secure Systems Integration Framework",59884,60374,e3e4d2c944f1866e3dafd81978eaf7887a0214b8dc5c5fac46dc4a47f72a755d
17.0,17.0.9-alpha,EAODS-v17.0.9-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 10: Enterprise Secure Software Supply Chain, DevSecOps & Software Assurance Framework",60375,60895,967b56613e73f11f45923edce2322a1b5f3be737eb35fb17bcebf4a6fe6e92e6
