range,unit,version,title,source_file,start_line,end_line,bytes,sha256,identical_duplicate_of,disposition
v4.17.1-v4.28,EAODS-v4.17.1-alpha-vulnerability-intake-and-triage-workflow.md,v4.17.1-alpha,Vulnerability Intake & Triage Workflow,EOADS-v17.1-v28.md,5,624,14772,3dfc769f9bc84126c4ae14ec2a9c56095422dbd90679887ecc6a3e81849bbbaf,,registered unit
v4.17.1-v4.28,EAODS-v4.17.2-alpha-ai-assisted-vulnerability-prioritization-scoring-model.md,v4.17.2-alpha,AI-Assisted Vulnerability Prioritization Scoring Model,EOADS-v17.1-v28.md,625,1099,12671,30bfed2810f6d7313f62d4e3d3a7ac802e7ac7efb396aa5072f0b6027aa8d0cb,,registered unit
v4.17.1-v4.28,EAODS-v4.18-alpha-authorized-scanning-governance-standard.md,v4.18-alpha,Authorized Scanning Governance Standard,EOADS-v17.1-v28.md,1100,1608,13309,9816e53568a98c8908ef54db69cb99e44a063c87d8f70fcf97c7fff4db6ed729,,registered unit
v4.17.1-v4.28,EAODS-v4.19-alpha-enterprise-penetration-testing-and-security-assessment-standard.md,v4.19-alpha,Enterprise Penetration Testing & Security Assessment Standard,EOADS-v17.1-v28.md,1609,1986,8964,7f2baa46a59699fd3683a6de9c96091d69728beb0616435ed3a662281992432f,,registered unit
v4.17.1-v4.28,EAODS-v4.20-alpha-enterprise-security-exceptions-and-risk-acceptance-standard.md,v4.20-alpha,Enterprise Security Exceptions & Risk Acceptance Standard,EOADS-v17.1-v28.md,1987,2427,11042,28f59096dd98fc277ad09d5e6ca3c8f521079060aa2ac450171e718ee019d8a7,,registered unit
v4.17.1-v4.28,EAODS-v4.21-alpha-enterprise-secure-configuration-and-hardening-baseline-standard.md,v4.21-alpha,Enterprise Secure Configuration & Hardening Baseline Standard,EOADS-v17.1-v28.md,2428,2848,9104,a96db0351f62ba70d599cadbf2dee7f3b98499344db5ba56fb6c1f9eacc35081,,registered unit
v4.17.1-v4.28,EAODS-v4.22-alpha-enterprise-security-configuration-compliance-and-drift-management-framework.md,v4.22-alpha,Enterprise Security Configuration Compliance & Drift Management Framework,EOADS-v17.1-v28.md,2849,3202,9190,9f0446d56c524cba47351a6f38d459fe72fd850ad234afa6133feca9c1c69939,,registered unit
v4.17.1-v4.28,EAODS-v4.23-alpha-enterprise-security-control-framework-and-control-catalog.md,v4.23-alpha,Enterprise Security Control Framework & Control Catalog,EOADS-v17.1-v28.md,3203,3601,9197,9c10a5060ced809fa4c12793e6cfc2e3ab1a6895851631fb1d0653423846f14c,,registered unit
v4.17.1-v4.28,EAODS-v4.24-alpha-enterprise-cybersecurity-metrics-kpis-kris-and-executive-scorecard-standard.md,v4.24-alpha,"Enterprise Cybersecurity Metrics, KPIs, KRIs & Executive Scorecard Standard",EOADS-v17.1-v28.md,3602,4008,9479,af1d7974850e547137fb1e71326c115d69a91769806e7f75a05b919c2e63eab0,,registered unit
v4.17.1-v4.28,EAODS-v4.25-alpha-enterprise-cybersecurity-policy-governance-and-document-lifecycle-standard.md,v4.25-alpha,Enterprise Cybersecurity Policy Governance & Document Lifecycle Standard,EOADS-v17.1-v28.md,4009,4396,8902,d4b390dbe1a6a04897cd6246cb63b35bdcde13387196fdab14f52a7c2fad7e13,,registered unit
