series,version,file,title,src_start,src_end,sha256
6.7,6.7.0-alpha,EAODS-v6.7.0-alpha-enterprise-cyber-resilience-testing-validation-continuous-im.md,"EAODS v6.7-alpha — Enterprise Cyber Resilience Testing, Validation & Continuous Improvement Framework",17846,18253,6fb4ecae91f68ed069400f90c3022b19f903a6c462740b0fb1ef476dbbe0c2c9
8.2,8.2.0-alpha,EAODS-v8.2.0-alpha-enterprise-eaods-capability-maturity-model-assessment-method.md,"EAODS v8.2-alpha — Enterprise EAODS Capability Maturity Model, Assessment Methodology & Certification Framework",23661,24101,4640f3594f9a768722f19bfb2eddd675fd81d9fae5568295d0aac88f0e73534c
8.4,8.4.0-alpha,EAODS-v8.4.0-alpha-enterprise-operational-metrics-service-level-objectives-slos.md,"EAODS v8.4-alpha — Enterprise Operational Metrics, Service Level Objectives (SLOs), Key Performance Indicators (KPIs) & Executive Performance Management Standard",24545,24974,56cf980e4eb13af88486abfd2c57aff8d80460448f7bc33643ceccbd5a1d87c0
8.5,8.5.0-alpha,EAODS-v8.5.0-alpha-enterprise-eaods-reference-implementation-blueprint-transfor.md,"EAODS v8.5-alpha — Enterprise EAODS Reference Implementation Blueprint & Transformation Playbook",24975,25475,1671c5e018861cbe436b5a766bbadff079e9e6836f21e8368830802921a2e87e
8.8,8.8.0-alpha,EAODS-v8.8.0-alpha-enterprise-ai-resilience-engineering-chaos-validation-operat.md,"EAODS v8.8-alpha — Enterprise AI Resilience Engineering, Chaos Validation & Operational Continuity Standard",26448,26891,4e3af4f1eeb95eebb53b809cbd4534b6b64a9e98af5944c3b95c85f27a642ecc
8.9,8.9.0-alpha,EAODS-v8.9.0-alpha-enterprise-digital-twin-cyber-range-operational-simulation-s.md,"EAODS v8.9-alpha — Enterprise Digital Twin, Cyber Range & Operational Simulation Standard",26892,27324,989d75740ab6c7b39bf2a286e84119335333805aae70ceb1e30f679967266b19
9.0,9.0.0-alpha,EAODS-v9.0.0-alpha-enterprise-canonical-information-model-metadata-schema-ontol.md,"EAODS v9.0-alpha — Enterprise Canonical Information Model, Metadata Schema & Ontology Reference Standard",27325,27779,d355541881187e26da0843228f0a535ae028b94ebfb0151e8466d961f20f3e10
10.0,10.0.0-alpha,EAODS-v10.0.0-alpha-enterprise-business-continuity-governance-crisis-communicati.md,"EAODS v10.0-alpha — Enterprise Business Continuity Governance, Crisis Communications & Executive Decision Support Standard",31381,31793,b9c5b6d7be9277be026a1afd44158078f92b3f8389e2e384ac81f574b939e11a
11.0,11.0.0-alpha,EAODS-v11.0.0-alpha-enterprise-autonomous-enterprise-operating-system-aeos-refer.md,"EAODS v11.0-alpha — Enterprise Autonomous Enterprise Operating System (AEOS) Reference Model & Strategic Vision Standard",35868,36325,e61682154f2fc25a5f5093e0d18b0477e68e5fcde9450862ad51275928160f54
12.0,12.0.0-alpha,EAODS-v12.0.0-alpha-enterprise-implementation-playbook-volume-1-readiness-govern.md,"EAODS v12.0-alpha — Enterprise Implementation Playbook, Volume 1: Readiness, Governance Mobilization & Phased Adoption Roadmap",40501,41163,f66abcb6b70059413d60daf72fe94991ef8fd6f741e34002fa63a9abdb3ea844
12.0,12.0.1-alpha,EAODS-v12.0.1-alpha-enterprise-implementation-playbook-volume-2-target-state-arc.md,"EAODS v12.0-alpha — Enterprise Implementation Playbook, Volume 2: Target-State Architecture, Platform Foundation & Secure Landing Zone Deployment",41168,41923,e5d35fa7b25c412dcc3cddd9011c19d7cdf56e509403c2f0d5ec2bbaab00825d
12.0,12.0.2-alpha,EAODS-v12.0.2-alpha-enterprise-implementation-playbook-volume-3-ai-runtime-agent.md,"EAODS v12.0-alpha — Enterprise Implementation Playbook, Volume 3: AI Runtime, Agent Factory, Model Governance & Controlled Workflow Deployment",41924,42411,0556b2490b6d639e45becf6a6414e3f66c5b3ee4ad5eb86c9df3e7e9c8ac914a
12.0,12.0.3-alpha,EAODS-v12.0.3-alpha-enterprise-implementation-playbook-volume-4-enterprise-data.md,"EAODS v12.0-alpha — Enterprise Implementation Playbook, Volume 4: Enterprise Data Fabric, Knowledge Graph, Retrieval Governance & Evidence-as-Code Deployment",42412,42944,c7b595a2987ef0a4dbed51efbed543428cea398a0a6233a81dda86de6a729e82
12.0,12.0.4-alpha,EAODS-v12.0.4-alpha-enterprise-implementation-playbook-volume-5-enterprise-opera.md,"EAODS v12.0-alpha — Enterprise Implementation Playbook, Volume 5: Enterprise Operations, Service Management, Site Reliability Engineering (SRE) & AI Platform Operations",42945,43437,14314fd2dd5203c7aaad83dffb096cbe61a8c450872a0a7bbdd1491f2d18b99b
12.0,12.0.5-alpha,EAODS-v12.0.5-alpha-enterprise-implementation-playbook-volume-6-enterprise-valid.md,"EAODS v12.0-alpha — Enterprise Implementation Playbook, Volume 6: Enterprise Validation, Production Readiness, Certification, Continuous Improvement & Value Realization",43438,43914,fb11906db42f43d90a63f52355729d4fcaa05349d24720d7fd15269d7a9d78bb
